Date,Open,High,Low,Close,Volume,AdjClose
20150925,44.48,44.73,43.759998,43.939999,29177300,43.939999
20150924,43.450001,44.130001,43.27,43.91,27652700,43.91
20150923,43.93,44.169998,43.509998,43.869999,17057200,43.869999
20150922,43.380001,44.049999,43.310001,43.900002,27824100,43.900002
20150921,43.619999,44.470001,43.599998,44.110001,26075400,44.110001
20150918,43.50,43.990002,43.330002,43.48,62221600,43.48
20150917,44.290001,45.00,44.080002,44.25,29817900,44.25
20150916,43.970001,44.380001,43.84,44.299999,23256700,44.299999
20150915,43.189999,44.290001,43.080002,43.98,28662100,43.98
20150914,43.43,43.439999,42.860001,43.040001,23633300,43.040001
20150911,43.139999,43.59,42.939999,43.48,26184400,43.48
20150910,43.119999,43.790001,42.75,43.290001,31234200,43.290001
20150909,44.209999,44.400002,42.91,43.07,33318800,43.07
20150908,43.299999,44.00,43.200001,43.889999,32204900,43.889999
20150904,42.810001,43.040001,42.200001,42.610001,37124100,42.610001
20150903,43.41,43.98,43.279999,43.50,28053200,43.50
20150902,42.360001,43.380001,41.880001,43.360001,37490400,43.360001
20150901,42.169998,42.59,41.66,41.82,49194700,41.82
20150831,43.560001,43.93,43.099998,43.52,34159100,43.52
20150828,43.400002,44.150002,43.389999,43.93,28104200,43.93
20150827,43.23,43.950001,42.93,43.900002,50498300,43.900002
20150826,42.009998,42.84,41.060001,42.709999,63031300,42.709999
20150825,42.57,43.240002,40.389999,40.470001,70239300,40.470001
20150824,40.450001,42.689999,39.720001,41.68,88049600,41.68
20150821,45.299999,45.48,43.07,43.07,68835500,43.07
20150820,46.07,46.470001,45.66,45.66,35671800,45.66
20150819,46.779999,47.080002,46.299999,46.610001,31444000,46.610001
20150818,46.84,47.43,46.700001,47.27,23305600,47.27
20150817,46.810001,47.450001,46.57,47.32,21099700,47.009999
20150814,46.529999,47.099998,46.52,47.00,21473400,46.692096
20150813,47.060001,47.099998,46.490002,46.73,22627200,46.423864
20150812,46.189999,46.900002,45.709999,46.740002,30181400,46.433801
20150811,46.82,46.939999,45.900002,46.41,29237400,46.105961
20150810,46.950001,47.490002,46.84,47.330002,23079900,47.019936
20150807,46.389999,46.779999,46.259998,46.740002,19163000,46.433801
20150806,47.709999,47.77,46.330002,46.619999,27368000,46.314584
20150805,47.98,48.41,47.540001,47.580002,26959700,47.268298
20150804,46.75,47.709999,46.68,47.540001,33403900,47.228559
20150803,46.98,47.00,46.450001,46.810001,24125900,46.503342
20150731,47.290001,47.369999,46.50,46.700001,31201500,46.394062
20150730,46.259998,47.400002,45.93,46.880001,39777900,46.572883
20150729,45.400002,46.779999,45.259998,46.290001,40945900,45.986748
20150728,45.580002,45.639999,44.790001,45.34,34328900,45.042971
20150727,45.939999,46.009998,45.25,45.349998,39701400,45.052904
20150724,45.91,46.32,45.799999,45.939999,32333200,45.639039
20150723,45.27,46.23,45.099998,46.110001,33934000,45.807927
20150722,45.439999,46.93,45.200001,45.540001,59152400,45.241662
20150721,46.779999,47.330002,46.48,47.279999,42781900,46.970261
20150720,46.650002,47.130001,46.439999,46.919998,30631900,46.612618
20150717,46.549999,46.779999,46.259998,46.619999,29467100,46.314584
20150716,46.009998,46.689999,45.970001,46.66,26271700,46.354323
20150715,45.68,45.889999,45.43,45.759998,26629600,45.460218
20150714,45.450001,45.959999,45.310001,45.619999,22880300,45.321136
20150713,44.98,45.619999,44.950001,45.540001,28178300,45.241662
20150710,45.009998,45.139999,44.57,44.610001,25465800,44.317754
20150709,44.75,45.220001,44.50,44.52,32424700,44.228343
20150708,44.439999,44.900002,44.029999,44.240002,39785900,43.950179
20150707,44.34,44.490002,43.32,44.299999,36435800,44.009783
20150706,43.959999,44.48,43.950001,44.389999,23034000,44.099194
20150702,44.48,44.75,44.060001,44.400002,21752000,44.109131
20150701,44.459999,45.23,44.099998,44.450001,28343900,44.158802
20150630,44.709999,44.720001,43.939999,44.150002,35945400,43.860768
20150629,45.040001,45.23,44.360001,44.369999,34081700,44.079325
20150626,45.650002,46.279999,45.029999,45.259998,49835300,44.963493
20150625,46.029999,46.060001,45.50,45.650002,20616000,45.350942
20150624,45.669998,46.25,45.549999,45.639999,34890900,45.341005
20150623,46.130001,46.279999,45.619999,45.91,25896500,45.609237
20150622,46.330002,46.720001,46.16,46.23,20318100,45.92714
20150619,46.790001,46.830002,45.990002,46.099998,63837000,45.797991
20150618,46.220001,46.799999,46.169998,46.720001,32658300,46.413932
20150617,45.73,46.07,45.360001,45.970001,28704100,45.668845
20150616,45.349998,46.240002,45.299999,45.830002,27070300,45.529763
20150615,45.450001,45.650002,45.02,45.48,33254500,45.182053
20150612,46.220001,46.470001,45.900002,45.970001,23931000,45.668845
20150611,46.66,46.919998,46.130001,46.439999,27347800,46.135763
20150610,45.790001,46.830002,45.689999,46.610001,28417400,46.304652
20150609,45.759998,45.939999,45.459999,45.650002,24406100,45.350942
20150608,46.299999,46.43,45.669998,45.73,22121600,45.430416
20150605,46.310001,46.52,45.84,46.139999,25438100,45.837729
20150604,46.790001,47.16,46.200001,46.360001,27745500,46.056289
20150603,47.369999,47.740002,46.82,46.849998,28002200,46.543077
20150602,46.93,47.349998,46.619999,46.919998,21498300,46.612618
20150601,47.060001,47.77,46.619999,47.23,28837300,46.920589
20150529,47.43,47.57,46.59,46.860001,36519600,46.553014
20150528,47.50,48.02,47.389999,47.450001,19283700,47.139149
20150527,46.82,47.77,46.619999,47.610001,27335600,47.298101
20150526,46.830002,46.880001,46.189999,46.59,29581900,46.284782
20150522,47.299999,47.349998,46.82,46.900002,25720600,46.592753
20150521,47.279999,47.599998,47.009998,47.419998,22410700,47.109343
20150520,47.389999,47.93,47.27,47.580002,25047900,47.268298
20150519,47.560001,47.810001,47.18,47.580002,28574800,47.268298
20150518,47.98,48.220001,47.610001,48.009998,24136500,47.387508
20150515,48.869999,48.91,48.049999,48.299999,28642700,47.673748
20150514,48.029999,48.82,48.029999,48.720001,32980900,48.088305
20150513,48.189999,48.32,47.57,47.630001,34184600,47.012437
20150512,46.849998,47.68,46.419998,47.349998,29928300,46.736065
20150511,47.549999,47.91,47.369999,47.369999,24609400,46.755806
20150508,47.549999,47.98,47.52,47.75,35364900,47.13088
20150507,46.27,47.09,46.16,46.700001,32971700,46.094495
20150506,47.57,47.77,46.02,46.279999,52433000,45.679939
20150505,47.82,48.16,47.310001,47.599998,50369200,46.982824
20150504,48.369999,48.869999,48.18,48.240002,34039500,47.614529
20150501,48.580002,48.880001,48.400002,48.66,38937300,48.029081
20150430,48.700001,49.540001,48.599998,48.639999,64725500,48.00934
20150429,48.720001,49.310001,48.50,49.060001,47804600,48.423896
20150428,47.779999,49.209999,47.700001,49.16,60730800,48.522598
20150427,47.23,48.130001,47.220001,48.029999,59248200,47.407249
20150424,45.66,48.139999,45.650002,47.869999,130933700,47.249323
20150423,42.889999,43.610001,42.799999,43.34,46309500,42.77806
20150422,42.669998,43.130001,42.549999,42.990002,25064300,42.432599
20150421,43.00,43.150002,42.529999,42.639999,26013800,42.087135
20150420,41.73,43.169998,41.68,42.91,46057700,42.353635
20150417,41.669998,41.740002,41.16,41.619999,42387600,41.08036